month,advances,declines,ratio
30-Nov-2018,928,869,1.07
29-Nov-2018,889,906,0.98
28-Nov-2018,618,1168,0.53
27-Nov-2018,854,920,0.93
26-Nov-2018,708,1086,0.65
22-Nov-2018,695,1079,0.64
21-Nov-2018,898,875,1.03
20-Nov-2018,490,1327,0.37
19-Nov-2018,933,847,1.1
16-Nov-2018,746,1042,0.72
15-Nov-2018,797,1013,0.79
14-Nov-2018,788,1002,0.79
13-Nov-2018,904,899,1.01
12-Nov-2018,669,1144,0.58
09-Nov-2018,943,847,1.11
07-Nov-2018,1406,279,5.04
06-Nov-2018,890,884,1.01
05-Nov-2018,869,913,0.95
02-Nov-2018,1168,652,1.79
01-Nov-2018,1182,607,1.95
31-Oct-2018,1196,607,1.97
30-Oct-2018,1088,702,1.55
29-Oct-2018,1339,431,3.11
26-Oct-2018,787,1006,0.78
25-Oct-2018,563,1234,0.46
24-Oct-2018,994,819,1.21
23-Oct-2018,492,1335,0.37
22-Oct-2018,492,1351,0.36
19-Oct-2018,513,1302,0.39
17-Oct-2018,406,1425,0.28
16-Oct-2018,1333,491,2.71
15-Oct-2018,1251,582,2.15
12-Oct-2018,1538,313,4.91
11-Oct-2018,523,1301,0.4
10-Oct-2018,1538,316,4.87
09-Oct-2018,679,1166,0.58
08-Oct-2018,501,1371,0.37
05-Oct-2018,413,1441,0.29
04-Oct-2018,467,1388,0.34
03-Oct-2018,1092,783,1.39
01-Oct-2018,712,1144,0.62
28-Sep-2018,268,1621,0.17
27-Sep-2018,471,1374,0.34
26-Sep-2018,890,943,0.94
25-Sep-2018,664,1186,0.56
24-Sep-2018,285,1619,0.18
21-Sep-2018,311,1600,0.19
19-Sep-2018,589,1223,0.48
18-Sep-2018,498,1326,0.38
17-Sep-2018,810,1020,0.79
14-Sep-2018,1276,540,2.36
12-Sep-2018,722,1083,0.67
11-Sep-2018,459,1382,0.33
10-Sep-2018,600,1230,0.49
07-Sep-2018,1060,743,1.43
06-Sep-2018,1088,710,1.53
