Symbol,Close,200-EMA,Condition,,
SBILIFE,1000.95,862.89,Higher,,
SIS,375.10,404.42,Lower,,
SJVN,27.10,24.58,Higher,,
SKFINDIA,2268.30,1887.71,Higher,,
SRF,6294.50,5021.90,Higher,,
SANOFI,7860.35,7960.96,Lower,,
SCHAEFFLER,4967.45,4495.34,Higher,,
SCHNEIDER,104.00,90.42,Higher,,
SEQUENT,286.70,184.54,Higher,,
SFL,2023.70,1737.85,Higher,,
SHILPAMED,458.40,422.07,Higher,,
SCI,122.55,81.09,Higher,,
SHOPERSTOP,204.85,208.36,Lower,,
SHREECEM,27513.10,24819.06,Higher,,
SHRIRAMCIT,1611.85,1182.77,Higher,,
SRTRANSFIN,1342.50,1100.45,Higher,,
SIEMENS,1948.65,1569.16,Higher,,
SOBHA,463.25,384.16,Higher,,
SOLARINDS,1224.65,1156.55,Higher,,
SOLARA,1695.65,1140.35,Higher,,
SONATSOFTW,590.50,398.61,Higher,,
SOUTHBANK,10.60,8.34,Higher,,
SPICEJET,69.65,74.93,Lower,,
STARCEMENT,102.50,93.85,Higher,,
SBIN,364.65,294.64,Higher,,
SAIL,140.40,59.11,Higher,,
SWSOLAR,297.25,260.58,Higher,,
STAR,837.75,740.92,Higher,,
SUDARSCHEM,696.95,483.18,Higher,,
SUMICHEM,309.60,282.93,Higher,,
SPARC,225.75,169.33,Higher,,
SUNPHARMA,708.10,557.60,Higher,,
SUNTV,518.60,467.50,Higher,,
SUNDARMFIN,2405.30,1923.54,Higher,,
SUNDRMFAST,704.55,565.58,Higher,,
SUNTECK,266.75,305.97,Lower,,
SUPRAJIT,255.45,219.84,Higher,,
SUPREMEIND,2209.15,1667.97,Higher,,
SUPPETRO,704.95,341.85,Higher,,
SUVENPHAR,530.05,387.08,Higher,,
SUZLON,6.15,4.75,Higher,,
SWANENERGY,131.60,132.37,Lower,,
SWARAJENG,1542.15,1355.18,Higher,,
SYMPHONY,1098.50,1053.41,Higher,,
SYNGENE,592.70,527.40,Higher,,
TCIEXP,946.10,847.24,Higher,,
TCNSBRANDS,524.95,449.84,Higher,,
TTKPRESTIG,7255.15,6398.54,Higher,,
TVTODAY,281.00,240.21,Higher,,
TV18BRDCST,39.35,29.72,Higher,,
TVSMOTOR,624.30,509.49,Higher,,
TASTYBITE,15076.45,12452.02,Higher,,
TATACHEM,696.70,533.39,Higher,,
TATACOFFEE,172.40,107.78,Higher,,
TATACOMM,1079.75,955.21,Higher,,
