,Symbol,Sector
715,TDPOWERSYS,Industrials
716,MANINDS,Basic Materials
717,KOPRAN,Healthcare
718,NITINSPIN,Consumer Cyclical
719,LINCOLN,Healthcare
720,EVERESTIND,Industrials
721,PRECWIRE,Industrials
722,SATIN,Financial Services
723,STCINDIA,Industrials
724,ASIANTILES,Industrials
725,HMVL,Communication Services
726,RSWM,Consumer Cyclical
727,TNPETRO,Basic Materials
728,UNIVCABLES,Industrials
729,SANGHVIMOV,Industrials
730,SORILINFRA,Industrials
731,GULPOLY,Basic Materials
732,UNITECH,Real Estate
733,NELCO,Technology
734,V2RETAIL,Consumer Cyclical
735,INDSWFTLAB,Healthcare
736,REPRO,Industrials
737,SHREEPUSHK,Basic Materials
738,AJMERA,Real Estate
739,NECLIFE,Healthcare
740,BLKASHYAP,Industrials
741,RUSHIL,Consumer Cyclical
742,TBZ,Consumer Cyclical
743,HEXATRADEX,Financial Services
744,JAYAGROGN,Basic Materials
745,ADORWELD,Industrials
746,PILITA,Consumer Cyclical
747,MADRASFERT,Basic Materials
748,ORIENTHOT,Consumer Cyclical
749,SRHHYPOLTD,Basic Materials
750,JAIBALAJI,Basic Materials
751,KANORICHEM,Basic Materials
752,ATULAUTO,Consumer Cyclical
753,HINDCOMPOS,Consumer Cyclical
754,SHRIRAMEPC,Industrials
755,KAYA,Consumer Defensive
756,ROSSELLIND,Consumer Defensive
757,ZUARI,Basic Materials
758,ASAHISONG,Basic Materials
759,IFBAGRO,Consumer Defensive
760,SAKSOFT,Technology
761,NAGAFERT,Basic Materials
762,NAHARSPING,Consumer Cyclical
763,KAMDHENU,Basic Materials
764,DHANBANK,Financial Services
765,DLINKINDIA,Technology
766,PARSVNATH,Real Estate
767,PGIL,Consumer Cyclical
768,SASTASUNDR,Healthcare
769,TI,Consumer Defensive
770,NDTV,Communication Services
771,HLVLTD,Consumer Cyclical
772,FEL,Consumer Cyclical
773,DICIND,Basic Materials
774,VIMTALABS,Healthcare
775,HERCULES,Industrials
776,GALLANTT,Basic Materials
777,VIPULLTD,Real Estate
778,SREEL,Consumer Cyclical
779,GANDHITUBE,Industrials
780,UTTAMSUGAR,Consumer Defensive
781,DVL,Financial Services
782,ARVSMART,Real Estate
783,VENUSREM,Healthcare
784,VISHNU,Basic Materials
785,ZEELEARN,Consumer Defensive
786,GOKEX,Consumer Cyclical
787,CYBERTECH,Technology
788,MANAKSIA,Industrials
789,VASCONEQ,Industrials
790,BAFNAPH,Healthcare
791,GENESYS,Technology
792,HITECHGEAR,Consumer Cyclical
793,SANGAMIND,Consumer Cyclical
794,VLSFINANCE,Financial Services
795,BGRENERGY,Industrials
796,AURIONPRO,Technology
797,UCALFUEL,Consumer Cyclical
798,MIRCELECTR,Consumer Cyclical
799,SWELECTES,Technology
800,ASHIMASYN,Consumer Cyclical
801,ZEEMEDIA,Communication Services
802,MENONBE,Consumer Cyclical
803,GKWLIMITED,Industrials
804,VARDHACRLC,Consumer Cyclical
805,ORIENTBELL,Industrials
806,GSCLCEMENT,Basic Materials
807,HCL-INSYS,Technology
808,MEP,Industrials
809,HINDNATGLS,Consumer Cyclical
810,MSPL,Basic Materials
811,ORICONENT,Consumer Cyclical
812,JUBLINDS,Basic Materials
