Date,Open,High,Low,Close,Adj Close,Volume
2017-07-20,65.500000,66.500000,65.000000,65.150002,63.712250,333343
2017-07-21,65.250000,65.900002,65.099998,65.500000,64.054520,333644
2017-07-24,65.500000,66.500000,65.000000,65.099998,63.663357,429147
2017-07-25,65.650002,67.000000,65.650002,66.150002,64.690178,694911
2017-07-26,67.000000,71.349998,67.000000,70.150002,68.601906,4345713
2017-07-27,70.800003,75.000000,70.199997,71.099998,69.530945,4424998
2017-07-28,70.500000,71.449997,68.849998,69.750000,68.210732,1158845
2017-07-31,69.800003,70.900002,69.300003,69.650002,68.112946,639938
2017-08-01,70.199997,72.599998,70.000000,70.550003,68.993088,1156741
2017-08-02,65.750000,65.900002,64.949997,65.050003,63.614460,4677279
2017-08-03,64.199997,64.199997,62.099998,62.349998,60.974041,5954936
2017-08-04,61.500000,62.549999,61.349998,62.250000,60.876247,2729465
2017-08-07,62.450001,62.700001,61.650002,61.950001,60.582867,835474
2017-08-08,62.299999,64.550003,62.000000,63.799999,62.392040,2829129
2017-08-09,63.799999,63.799999,61.900002,62.450001,61.071835,923774
2017-08-10,62.099998,62.400002,60.049999,60.900002,59.556046,784574
2017-08-11,60.049999,60.849998,59.049999,59.900002,58.578114,621169
2017-08-14,62.900002,63.500000,61.200001,62.000000,60.834885,1057012
2017-08-16,62.599998,63.299999,61.750000,63.000000,61.816093,654004
2017-08-17,63.400002,64.500000,62.599998,62.950001,61.767036,896242
2017-08-18,62.549999,63.849998,62.150002,62.400002,61.227371,450381
2017-08-21,62.849998,63.299999,61.000000,61.549999,60.393341,646000
2017-08-22,61.849998,62.400002,60.849998,61.099998,59.951797,341130
2017-08-23,61.500000,62.900002,61.299999,62.049999,60.883945,584875
2017-08-24,62.200001,62.599998,61.750000,61.950001,60.785824,286856
2017-08-28,62.049999,62.750000,61.950001,62.200001,61.031128,448380
2017-08-29,62.000000,62.599998,61.000000,61.250000,60.098980,438213
2017-08-30,61.750000,62.500000,61.599998,62.150002,60.982067,469105
2017-08-31,62.099998,63.000000,61.900002,62.500000,61.325489,511355
2017-09-01,62.750000,63.950001,62.400002,63.549999,62.355759,1145420
2017-09-04,63.950001,64.500000,62.200001,62.700001,61.521732,621273
2017-09-05,63.000000,64.550003,63.000000,64.300003,63.091667,1977720
2017-09-06,63.799999,65.400002,63.549999,64.500000,63.287903,1358076
2017-09-07,64.949997,66.349998,64.000000,64.699997,63.484142,3501850
2017-09-08,65.000000,65.800003,63.700001,63.900002,62.699181,1719794
2017-09-11,64.400002,65.400002,63.799999,64.550003,63.336967,1032643
2017-09-12,64.550003,66.500000,64.550003,64.800003,63.582272,2305139
2017-09-13,65.000000,65.650002,63.299999,63.700001,62.502937,923485
2017-09-14,63.700001,64.199997,62.250000,62.400002,61.227371,1471898
2017-09-15,62.500000,62.799999,62.000000,62.150002,60.982067,735004
2017-09-18,62.400002,63.150002,62.299999,62.599998,61.423607,772863
2017-09-19,63.000000,63.799999,62.549999,62.700001,61.521732,1237720
2017-09-20,63.250000,64.000000,62.799999,63.000000,61.816093,2073110
