SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
COCHINSHIP,373.05,374.95,357.05,359.35,22-JAN-2021
COFORGE,2648.0,2759.2,2475.0,2491.0,22-JAN-2021
COLPAL,1565.0,1569.3,1517.1,1519.8,22-JAN-2021
CONCOR,432.8,444.0,421.2,428.65,22-JAN-2021
COROMANDEL,836.65,861.0,809.2,833.3,22-JAN-2021
CREDITACC,752.95,768.95,725.0,727.6,22-JAN-2021
CROMPTON,387.05,456.0,375.3,429.7,22-JAN-2021
CUMMINSIND,601.7,627.6,583.35,615.85,22-JAN-2021
CYIENT,495.0,609.35,478.65,601.4,22-JAN-2021
DBCORP,84.0,84.5,78.5,80.1,22-JAN-2021
DCBBANK,117.9,121.65,114.05,115.9,22-JAN-2021
DCMSHRIRAM,395.25,474.9,393.0,456.4,22-JAN-2021
DLF,278.0,299.5,266.4,269.4,22-JAN-2021
DABUR,541.2,547.45,531.3,532.95,22-JAN-2021
DALBHARAT,1146.3,1185.0,1081.0,1155.05,22-JAN-2021
DEEPAKNTR,1012.5,1033.95,987.0,1001.0,22-JAN-2021
DELTACORP,152.95,153.8,143.2,144.95,22-JAN-2021
DHANI,345.3,361.1,319.0,320.45,22-JAN-2021
DHANUKA,785.0,798.0,734.0,742.9,22-JAN-2021
DBL,423.55,434.85,413.0,415.05,22-JAN-2021
DISHTV,12.85,13.0,11.95,12.15,22-JAN-2021
DCAL,147.9,148.95,134.55,136.05,22-JAN-2021
DIVISLAB,3640.0,3666.1,3530.0,3544.7,22-JAN-2021
DIXON,14999.0,15600.0,13419.55,14092.55,22-JAN-2021
LALPATHLAB,2285.0,2332.45,2212.0,2298.7,22-JAN-2021
DRREDDY,5231.0,5237.95,4985.0,5036.9,22-JAN-2021
EIDPARRY,345.1,371.7,336.0,351.7,22-JAN-2021
EIHOTEL,97.0,97.25,92.55,93.25,22-JAN-2021
EPL,264.0,266.9,251.3,252.3,22-JAN-2021
ESABINDIA,1764.0,1935.25,1710.0,1823.9,22-JAN-2021
EDELWEISS,68.95,70.2,65.2,66.0,22-JAN-2021
EICHERMOT,2853.15,3037.0,2815.0,2972.6,22-JAN-2021
ELGIEQUIP,167.25,168.1,159.1,160.3,22-JAN-2021
EMAMILTD,472.85,501.1,449.35,480.85,22-JAN-2021
ENDURANCE,1325.0,1417.0,1289.15,1409.55,22-JAN-2021
ENGINERSIN,78.0,78.7,72.85,73.5,22-JAN-2021
EQUITAS,77.8,77.85,71.8,73.65,22-JAN-2021
ERIS,630.0,643.2,593.0,613.4,22-JAN-2021
ESCORTS,1327.85,1328.4,1265.0,1293.7,22-JAN-2021
EXIDEIND,200.3,206.9,190.4,200.65,22-JAN-2021
